,healthy_GSM4205771,healthy_GSM4205772,healthy_GSM4205773,healthy_GSM4205774,disease_GSM4205775,disease_GSM4205776,disease_GSM4205777,disease_GSM4205778
ENSG00000008128,13,36,44,27,6,15,8,20
ENSG00000008130,19,49,13,6,13,10,13,11
ENSG00000008196,0,0,0,0,0,0,0,2
ENSG00000008197,0,0,0,0,0,0,0,0
ENSG00000008226,0,0,0,0,0,0,0,0
ENSG00000008256,84,165,65,47,173,95,85,112
ENSG00000008277,0,0,0,0,0,0,0,0
ENSG00000008282,85,244,81,71,75,84,77,87
ENSG00000008283,32,51,32,17,38,28,34,63
ENSG00000008294,89,266,244,209,121,185,177,247
ENSG00000008300,3,1,0,2,2,0,3,0
ENSG00000008311,14,30,19,6,13,22,11,12
ENSG00000008323,0,0,0,0,0,0,0,1
ENSG00000008324,17,109,43,26,36,30,24,17
ENSG00000008382,17,24,17,4,21,12,13,6
ENSG00000008394,360,744,467,344,247,212,245,144
ENSG00000008405,17,41,25,23,17,15,15,23
ENSG00000008438,0,0,0,0,0,0,0,0
ENSG00000008441,608,957,741,546,687,795,608,997
ENSG00000008513,36,136,38,31,49,43,31,58
ENSG00000008516,0,0,0,0,1,2,1,0
ENSG00000008517,2,13,0,0,55,34,34,42
ENSG00000008710,58,127,49,19,93,102,54,90
ENSG00000008735,0,0,0,0,0,0,0,0
ENSG00000008838,275,403,221,128,323,147,148,253
ENSG00000008853,13,48,18,9,32,21,14,21
ENSG00000008869,5,16,1,6,10,14,15,27
ENSG00000008952,419,1207,817,510,370,435,422,453
ENSG00000008988,2046,5952,2683,1887,3550,3358,3230,3850
ENSG00000009307,849,2259,1547,1126,1156,1391,1369,1633
ENSG00000009335,111,301,131,81,117,109,98,105
ENSG00000009413,78,291,223,178,145,259,216,290
ENSG00000009694,0,0,6,0,0,0,0,0
ENSG00000009709,0,0,0,0,0,0,0,0
ENSG00000009724,0,0,0,0,0,0,0,0
ENSG00000009765,0,0,0,0,0,0,0,0
ENSG00000009780,16,37,11,27,19,16,22,29
ENSG00000009790,0,0,0,0,0,0,0,1
ENSG00000009830,43,87,23,16,45,31,24,46
ENSG00000009844,65,193,94,78,75,70,72,64
ENSG00000009950,0,0,0,0,0,1,0,0
ENSG00000009954,238,546,484,411,256,346,323,427
ENSG00000010017,16,62,48,20,18,19,34,19
ENSG00000010030,0,0,0,0,0,0,1,0
ENSG00000010072,16,20,47,24,15,12,11,17
ENSG00000010165,44,124,67,37,32,51,34,43
ENSG00000010219,14,47,27,11,18,16,30,37
ENSG00000010244,146,399,180,147,198,222,206,209
ENSG00000010256,237,427,124,125,260,175,143,212
ENSG00000010270,18,56,33,41,19,33,26,27
ENSG00000010278,130,418,596,483,151,485,608,317
ENSG00000010282,0,0,0,0,0,0,0,0
ENSG00000010292,52,185,123,112,59,58,57,41
ENSG00000010295,63,187,93,37,79,80,66,88
ENSG00000010310,1,0,0,0,0,0,4,1
ENSG00000010318,5,7,6,1,5,1,1,7
ENSG00000010319,0,0,0,0,2,0,0,0
ENSG00000010322,69,129,35,29,67,94,57,90
ENSG00000010327,0,0,0,0,0,0,0,0
ENSG00000010361,10,54,8,9,14,17,15,3
ENSG00000010379,0,0,0,0,0,0,0,0
ENSG00000010404,49,130,61,56,82,83,60,65
ENSG00000010438,15,57,5,9,30,11,10,15
ENSG00000010539,7,8,12,0,21,11,9,9
ENSG00000010610,19,45,12,17,74,81,82,61
ENSG00000010626,11,20,3,1,36,16,8,17
ENSG00000010671,0,0,0,0,0,0,0,0
ENSG00000010704,21,40,18,9,10,10,5,7
ENSG00000010803,15,88,18,17,31,29,36,15
ENSG00000010810,8,11,13,4,37,39,46,52
ENSG00000010818,17,52,22,26,28,50,35,58
ENSG00000010932,0,0,0,0,0,0,0,0
ENSG00000011007,49,123,71,62,42,77,72,70
ENSG00000011009,85,185,74,56,78,43,34,65
ENSG00000011021,7,15,7,1,10,10,7,14
ENSG00000011028,227,496,212,202,447,328,298,441
ENSG00000011052,0,0,0,0,0,0,0,0
ENSG00000011083,0,0,0,0,0,0,0,0
ENSG00000011105,30,73,42,7,46,39,26,49
ENSG00000011114,125,248,190,170,174,231,216,261
ENSG00000011132,7,9,12,7,14,15,29,25
ENSG00000011143,17,28,11,13,3,9,16,15
ENSG00000011198,37,117,48,22,15,22,20,32
ENSG00000011201,0,0,0,0,0,0,0,0
ENSG00000011243,9,14,25,8,11,21,4,31
ENSG00000011258,3,5,1,2,2,5,12,8
ENSG00000011260,27,69,63,46,36,39,46,50
ENSG00000011275,87,110,86,78,70,80,90,117
ENSG00000011295,56,105,74,58,58,86,53,85
ENSG00000011304,332,812,323,254,414,345,278,361
ENSG00000011332,15,25,11,13,16,13,7,25
ENSG00000011347,0,0,0,0,5,11,13,11
ENSG00000011376,14,43,27,11,14,19,15,26
ENSG00000011405,89,190,104,80,151,85,127,165
ENSG00000011422,286,661,234,176,173,121,73,46
ENSG00000011426,88,245,298,246,48,110,107,121
ENSG00000011451,40,93,71,37,53,72,41,53
ENSG00000011454,95,221,124,109,143,165,159,254
ENSG00000011465,526,1550,1421,1030,1799,3078,2887,3864
ENSG00000011478,2,4,2,0,1,3,2,0
ENSG00000011485,48,110,44,27,52,27,14,22
ENSG00000011523,27,47,54,4,5,22,17,28
ENSG00000011566,20,48,64,44,25,38,50,57
ENSG00000011590,0,0,0,0,0,0,0,0
ENSG00000011600,0,0,0,0,0,0,0,0
ENSG00000011638,16,51,51,33,38,54,39,29
ENSG00000011677,0,0,0,0,0,0,0,0
ENSG00000012048,42,92,79,22,28,26,27,34
ENSG00000012061,135,349,89,129,145,130,132,149
ENSG00000012124,1,4,0,3,0,0,0,0
ENSG00000012171,10,23,2,12,75,54,41,89
ENSG00000012174,21,81,24,31,20,31,37,30
ENSG00000012211,1,2,0,0,1,3,1,2
ENSG00000012223,0,0,0,0,0,0,0,0
ENSG00000012232,81,186,71,53,66,38,42,48
ENSG00000012504,0,0,0,0,0,0,0,0
ENSG00000012660,81,182,74,51,78,89,59,45
ENSG00000012779,0,0,0,0,0,0,0,0
ENSG00000012817,9,7,20,13,0,0,0,0
ENSG00000012822,13,37,52,9,24,30,20,19
ENSG00000012963,31,79,43,44,32,24,36,32
ENSG00000012983,72,240,130,73,97,105,116,172
ENSG00000013016,15,27,31,16,57,74,57,81
ENSG00000013275,214,427,199,187,259,166,141,240
ENSG00000013288,86,136,85,24,102,77,73,74
ENSG00000013293,1,2,2,8,1,4,0,5
ENSG00000013297,520,1191,417,290,393,324,270,330
ENSG00000013306,131,318,76,107,150,111,75,113
ENSG00000013364,250,624,253,176,317,236,229,359
ENSG00000013374,48,131,128,106,75,93,113,130
ENSG00000013375,48,179,140,85,62,92,94,104
ENSG00000013392,2,27,8,7,3,4,10,9
ENSG00000013441,19,61,37,20,33,25,12,45
ENSG00000013503,11,34,25,35,18,16,38,29
ENSG00000013523,3,6,5,2,5,4,6,3
ENSG00000013561,35,140,79,48,48,64,67,47
ENSG00000013563,15,69,51,50,11,12,4,18
ENSG00000013573,8,24,6,3,6,2,2,5
ENSG00000013583,83,291,113,91,81,98,119,134
ENSG00000013588,133,367,215,110,70,41,41,38
ENSG00000013619,25,49,16,21,26,54,45,38
ENSG00000013725,0,0,0,0,0,0,0,0
ENSG00000013810,161,300,161,121,89,75,67,81
ENSG00000014123,58,160,70,77,79,73,97,86
