"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000087245",401.007241189397,1.23487383980502,0.245744616525753,5.02502906172763,5.03356306325589e-07,2.35835103952906e-05
"ENSG00000087250",6.65182080831767,-2.5906256368544,0.880821779413556,-2.94114620846367,0.00327000147708945,0.0360118872420867
"ENSG00000087589",21.6789249843486,-1.33848384123015,0.41409703622071,-3.23229514861042,0.00122800147276797,0.0165748385314018
"ENSG00000088367",56.7375178761047,1.64981778099736,0.272537362301256,6.05354717997782,1.41690547947257e-09,1.23034625800868e-07
"ENSG00000088756",2.73456987599808,5.01339627482621,1.4037808693944,3.5713524696978,0.000355142575686028,0.00625098925447367
"ENSG00000089486",43.5765736638982,-1.68424901709198,0.356278295165901,-4.72734107001301,2.27478985923429e-06,8.85974230104102e-05
"ENSG00000090339",10.8230341051711,2.50880920232307,0.609345585423201,4.11721896792057,3.83471699540845e-05,0.000987098594173816
"ENSG00000092096",14.5742678885991,2.64992285788996,0.614206596547633,4.31438358491231,1.60048844558522e-05,0.000472706621400171
"ENSG00000092421",2.73404282329579,5.01319310848682,1.337057089361,3.74942337793721,0.000177241639228969,0.00351526378962437
"ENSG00000092621",68.6707350245058,1.1948172900363,0.295726935154894,4.04027211593183,5.33892195341075e-05,0.00128776774894769
"ENSG00000092969",10.6981011746638,2.7182350510568,0.633511225447401,4.29074488638638,1.78074793740121e-05,0.00051657554308799
"ENSG00000094963",2.04877568887279,4.60222080677878,1.47679455531861,3.11635818956949,0.00183099721700172,0.0228655213340819
"ENSG00000096093",20.8606384183477,2.23417073332536,0.445514737686514,5.01480769172091,5.30865353001206e-07,2.46068370919598e-05
"ENSG00000096746",175.304672990221,-1.02274399955506,0.205865140987044,-4.96802904392361,6.76368342099059e-07,3.01701974515077e-05
"ENSG00000099194",161.619183853781,3.21686462738321,0.235793150583912,13.642739915969,2.23021147149928e-42,5.80970088325562e-39
"ENSG00000099284",4.87277802429136,5.0598450056187,1.25500648836623,4.03172816437438,5.53682072846421e-05,0.00132568180125453
"ENSG00000099904",24.0188573650412,-1.3085398542102,0.450514665383992,-2.90454441276596,0.00367788019212805,0.0397086662914332
"ENSG00000100181",2.38419933409305,4.81004094275686,1.38267124816797,3.4788030409471,0.000503658616023482,0.00825306805715284
"ENSG00000100626",4.48815993620497,3.79763078411491,1.15212000058309,3.29621114310395,0.000979983331972962,0.0139652985765294
"ENSG00000100968",147.723428486414,1.2331972845427,0.326325539672996,3.77904005239203,0.000157434102691805,0.00317427118817454
"ENSG00000101825",35.4030847555231,8.70984372352975,1.06190130509357,8.20212168659337,2.36181042420877e-16,5.6967742176517e-14
"ENSG00000102174",6.71801797086911,2.67687773549393,0.738350278426002,3.62548483248417,0.000288419825508747,0.0052688193930595
"ENSG00000102218",9.03769298832759,-2.07447621027674,0.631638042861406,-3.28428002987135,0.00102243277280873,0.0144125398980884
"ENSG00000102349",3.63707014813129,4.69643782487542,1.24659487920291,3.76741305714202,0.000164947958383246,0.00331550487336694
"ENSG00000102362",13.2580794698511,-1.76071755961929,0.522662065850257,-3.36874947439506,0.00075510028083838,0.0113833115253702
"ENSG00000102678",3.05700234585125,5.16817546472975,1.33909773425955,3.85944605274646,0.000113644340490656,0.00243749938080543
"ENSG00000102802",7.95067261989414,2.70169016589889,0.710026759379622,3.8050540070623,0.000141773253390504,0.00291261297383488
"ENSG00000103381",29.5603754358905,-1.53110819598317,0.337783630817288,-4.5328075616884,5.8204837619402e-06,0.000203248796244695
"ENSG00000103485",45.2538938682359,1.83880680929717,0.418960283305598,4.38897643182065,1.13885409278715e-05,0.000354730074916168
"ENSG00000103490",100.60962200626,1.19814037592231,0.268966410538551,4.45460967978595,8.40459555890572e-06,0.000277842277042505
"ENSG00000103522",10.5231658979432,4.27965685291708,0.828419365013604,5.16605119780946,2.39091325410224e-07,1.22124098567379e-05
"ENSG00000103888",136.523017871176,1.95111055236058,0.223178278146295,8.74238554292284,2.28239061934934e-18,7.25076532122564e-16
"ENSG00000104081",4.89104217609723,5.07479463446799,1.19184750866356,4.25792276073845,2.06335209445751e-05,0.000584242631093676
"ENSG00000104213",7.02740380631603,5.03352312891754,1.10606427851077,4.55084141736753,5.34318091901865e-06,0.000189015894219518
"ENSG00000104324",26.6086144592224,1.2801441880118,0.417434322273922,3.06669605182049,0.00216438819822218,0.0263222747729635
"ENSG00000104368",137.628674208387,-1.73790103865594,0.219030547840689,-7.93451441266535,2.1132048160607e-15,4.04771951899861e-13
"ENSG00000104549",79.9398169480247,1.63130763773686,0.234301019501894,6.96244361721044,3.34420458323725e-12,4.44472088741481e-10
"ENSG00000104722",15.7722441144082,-1.50917372969614,0.48133917263568,-3.13536444879879,0.00171640730156036,0.021705053497887
"ENSG00000104856",43.2591653788967,1.43592244859902,0.296511842396614,4.8427153431475,1.28076709587398e-06,5.38128755605116e-05
"ENSG00000104870",65.5673191714072,1.5065932362524,0.380603708596429,3.95843025757246,7.54439632573587e-05,0.00171793290459283
